purple,purple,A700,purple-A700,mdl-color-text--purple-A700,mdl-color--purple-A700,#aa00ff
deepPurple,deep-purple,1,deep-purple,mdl-color-text--deep-purple,mdl-color--deep-purple,#673ab7
deepPurple,deep-purple,50,deep-purple-50,mdl-color-text--deep-purple-50,mdl-color--deep-purple-50,#ede7f6
deepPurple,deep-purple,100,deep-purple-100,mdl-color-text--deep-purple-100,mdl-color--deep-purple-100,#d1c4e9
deepPurple,deep-purple,200,deep-purple-200,mdl-color-text--deep-purple-200,mdl-color--deep-purple-200,#b39ddb
deepPurple,deep-purple,300,deep-purple-300,mdl-color-text--deep-purple-300,mdl-color--deep-purple-300,#9575cd
deepPurple,deep-purple,400,deep-purple-400,mdl-color-text--deep-purple-400,mdl-color--deep-purple-400,#7e57c2
deepPurple,deep-purple,500,deep-purple-500,mdl-color-text--deep-purple-500,mdl-color--deep-purple-500,#673ab7
deepPurple,deep-purple,600,deep-purple-600,mdl-color-text--deep-purple-600,mdl-color--deep-purple-600,#5e35b1
deepPurple,deep-purple,700,deep-purple-700,mdl-color-text--deep-purple-700,mdl-color--deep-purple-700,#512da8
deepPurple,deep-purple,800,deep-purple-800,mdl-color-text--deep-purple-800,mdl-color--deep-purple-800,#4527a0
deepPurple,deep-purple,900,deep-purple-900,mdl-color-text--deep-purple-900,mdl-color--deep-purple-900,#311b92
deepPurple,deep-purple,A100,deep-purple-A100,mdl-color-text--deep-purple-A100,mdl-color--deep-purple-A100,#b388ff
deepPurple,deep-purple,A200,deep-purple-A200,mdl-color-text--deep-purple-A200,mdl-color--deep-purple-A200,#7c4dff
deepPurple,deep-purple,A400,deep-purple-A400,mdl-color-text--deep-purple-A400,mdl-color--deep-purple-A400,#651fff
deepPurple,deep-purple,A700,deep-purple-A700,mdl-color-text--deep-purple-A700,mdl-color--deep-purple-A700,#6200ea
indigo,indigo,1,indigo,mdl-color-text--indigo,mdl-color--indigo,#3f51b5
indigo,indigo,50,indigo-50,mdl-color-text--indigo-50,mdl-color--indigo-50,#e8eaf6
indigo,indigo,100,indigo-100,mdl-color-text--indigo-100,mdl-color--indigo-100,#c5cae9
indigo,indigo,200,indigo-200,mdl-color-text--indigo-200,mdl-color--indigo-200,#9fa8da
indigo,indigo,300,indigo-300,mdl-color-text--indigo-300,mdl-color--indigo-300,#7986cb
indigo,indigo,400,indigo-400,mdl-color-text--indigo-400,mdl-color--indigo-400,#5c6bc0
indigo,indigo,500,indigo-500,mdl-color-text--indigo-500,mdl-color--indigo-500,#3f51b5
indigo,indigo,600,indigo-600,mdl-color-text--indigo-600,mdl-color--indigo-600,#3949ab
indigo,indigo,700,indigo-700,mdl-color-text--indigo-700,mdl-color--indigo-700,#303f9f
indigo,indigo,800,indigo-800,mdl-color-text--indigo-800,mdl-color--indigo-800,#283593
indigo,indigo,900,indigo-900,mdl-color-text--indigo-900,mdl-color--indigo-900,#1a237e
indigo,indigo,A100,indigo-A100,mdl-color-text--indigo-A100,mdl-color--indigo-A100,#8c9eff
indigo,indigo,A200,indigo-A200,mdl-color-text--indigo-A200,mdl-color--indigo-A200,#536dfe
indigo,indigo,A400,indigo-A400,mdl-color-text--indigo-A400,mdl-color--indigo-A400,#3d5afe
indigo,indigo,A700,indigo-A700,mdl-color-text--indigo-A700,mdl-color--indigo-A700,#304ffe
blue,blue,1,blue,mdl-color-text--blue,mdl-color--blue,#2196f3
blue,blue,50,blue-50,mdl-color-text--blue-50,mdl-color--blue-50,#e3f2fd
blue,blue,100,blue-100,mdl-color-text--blue-100,mdl-color--blue-100,#bbdefb
blue,blue,200,blue-200,mdl-color-text--blue-200,mdl-color--blue-200,#90caf9
blue,blue,300,blue-300,mdl-color-text--blue-300,mdl-color--blue-300,#64b5f6
blue,blue,400,blue-400,mdl-color-text--blue-400,mdl-color--blue-400,#42a5f5
blue,blue,500,blue-500,mdl-color-text--blue-500,mdl-color--blue-500,#2196f3
blue,blue,600,blue-600,mdl-color-text--blue-600,mdl-color--blue-600,#1e88e5
blue,blue,700,blue-700,mdl-color-text--blue-700,mdl-color--blue-700,#1976d2
blue,blue,800,blue-800,mdl-color-text--blue-800,mdl-color--blue-800,#1565c0
